00:15:20.441 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:20.455 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.900 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.915 ERROR Bot encountered an error: thread.type.split is not a function. 
03:34:13.588 INFO  Loading Event: guildScheduledEventCreate 
03:34:13.588 INFO  Loading Event: guildScheduledEventDelete 
03:34:13.589 INFO  Loading Event: guildScheduledEventUpdate 
03:34:13.589 INFO  Loading Event: guildScheduledEventUserAdd 
03:34:13.590 INFO  Loading Event: guildScheduledEventUserRemove 
03:34:13.590 INFO  Loading Event: guildUpdate 
03:34:13.591 INFO  Loading Event: inviteCreate 
03:34:13.591 INFO  Loading Event: inviteDelete 
03:34:13.592 INFO  Loading Event: messageDelete 
03:34:13.593 INFO  Loading Event: messageDeleteBulk 
03:34:13.593 INFO  Loading Event: messageReactionAdd 
03:34:13.594 INFO  Loading Event: messageReactionRemove 
03:34:13.594 INFO  Loading Event: messageReactionRemoveAll 
03:34:13.595 INFO  Loading Event: messageUpdate 
03:34:13.595 INFO  Loading Event: roleCreate 
03:34:13.596 INFO  Loading Event: roleDelete 
03:34:13.596 INFO  Loading Event: roleUpdate 
03:34:13.597 INFO  Loading Event: stickerCreate 
03:34:13.597 INFO  Loading Event: stickerDelete 
03:34:13.598 INFO  Loading Event: stickerUpdate 
03:34:13.599 INFO  Loading Event: threadCreate 
03:34:13.599 INFO  Loading Event: threadDelete 
03:34:13.600 INFO  Loading Event: threadListSync 
03:34:13.600 INFO  Loading Event: threadMembersUpdate 
03:34:13.601 INFO  Loading Event: threadUpdate 
03:34:13.601 INFO  Loading Event: voiceStateUpdate 
03:34:14.087 INFO  10 language(s) have loaded. (ar-EG, de-DE, en-US, en-upside, es-ES, fr-FR, it-IT, nl-NL, pt-BR, ru-RU) 
03:34:14.130 INFO  MongoDB successfully connected 
03:34:16.916 INFO  Shard: 0 has became ready with: 0 unavailable guilds. 
03:34:17.001 ERROR Error with starting HTTP API: listen EADDRINUSE: address already in use :::3000 
03:34:17.021 INFO  All guilds have been initialized. 
03:34:17.026 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:34:17.026 INFO  Prof Grand Oak#0818, ready to serve [1] users in [2] servers. 
03:34:17.027 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:37:28.519 INFO  =-=-=-=-=-=-=- Config file Verification -=-=-=-=-=-=-= 
03:37:28.521 INFO  Verifying config.. 
03:37:28.522 INFO  Checking client details.. 
03:37:29.234 INFO  Checking MongoDB URL 
03:37:29.520 INFO  =-=-=-=-=-=-=- Loading shard(s) -=-=-=-=-=-=-= 
03:37:30.548 INFO  =-=-=-=-=-=-=- Loading command(s): 137 -=-=-=-=-=-=-= 
03:37:30.555 INFO  Loading Command: flip. 
03:37:30.556 INFO  Loading Command: meme. 
03:37:30.557 INFO  Loading Command: pokememe. 
03:37:30.558 INFO  Loading Command: pokemon. 
03:37:30.559 INFO  Loading Command: random. 
03:37:30.560 INFO  Loading Command: rpokemon. 
03:37:30.561 INFO  Loading Command: type. 
03:37:30.563 INFO  Loading Command: blurpify. 
03:37:30.565 INFO  Loading Command: captcha. 
03:37:30.566 INFO  Loading Command: cat. 
03:37:30.567 INFO  Loading Command: changemymind. 
03:37:30.568 INFO  Loading Command: clyde. 
03:37:30.569 INFO  Loading Command: craiyon. 
03:37:30.569 INFO  Loading Command: deepfry. 
03:37:30.570 INFO  Loading Command: dog. 
03:37:30.590 INFO  Loading Command: image. 
03:37:30.591 INFO  Loading Command: phcomment. 
03:37:30.592 INFO  Loading Command: qrcode. 
03:37:30.593 INFO  Loading Command: ship. 
03:37:30.594 INFO  Loading Command: threats. 
03:37:30.595 INFO  Loading Command: twitter. 
03:37:30.595 INFO  Loading Command: whowouldwin. 
03:37:30.598 INFO  Loading Command: poll. 
03:37:30.599 INFO  Loading Command: leaderboard. 
03:37:30.820 INFO  Loading Command: rank. 
03:37:30.821 INFO  Loading Command: help. 
03:37:30.823 INFO  Loading Command: shorturl. 
03:37:30.823 INFO  Loading Command: status. 
03:37:30.825 INFO  Loading Command: g-delete. 
03:37:30.825 INFO  Loading Command: g-edit. 
03:37:30.826 INFO  Loading Command: g-pause. 
03:37:30.827 INFO  Loading Command: g-reroll. 
03:37:30.828 INFO  Loading Command: g-start. 
03:37:30.829 INFO  Loading Command: giveaway. 
03:37:30.831 INFO  Loading Command: addrole. 
03:37:30.832 INFO  Loading Command: ban. 
03:37:30.833 INFO  Loading Command: clear-warning. 
03:37:30.834 INFO  Loading Command: clear. 
03:37:30.835 INFO  Loading Command: deafen. 
03:37:30.835 INFO  Loading Command: delrole. 
03:37:30.836 INFO  Loading Command: dm. 
03:37:30.837 INFO  Loading Command: editrole. 
03:37:30.838 INFO  Loading Command: kick. 
03:37:30.839 INFO  Loading Command: lock. 
03:37:30.840 INFO  Loading Command: mute. 
03:37:30.841 INFO  Loading Command: nick. 
03:37:30.841 INFO  Loading Command: report. 
03:37:30.843 INFO  Loading Command: slowmode. 
03:37:30.844 INFO  Loading Command: unban. 
03:37:30.845 INFO  Loading Command: undeafen. 
03:37:30.846 INFO  Loading Command: unlock. 
03:37:30.847 INFO  Loading Command: unmute. 
03:37:30.848 INFO  Loading Command: warn. 
03:37:30.848 INFO  Loading Command: warnings. 
03:37:30.850 INFO  Loading Command: tag-add. 
03:37:30.851 INFO  Loading Command: tag-delete. 
